place,catu,grav,sexe,secu1,senc,catv,obs,obsm,choc,manv,motor,catr,circ,nbv,vosp,prof,plan,surf,infra,situ,vma,hrmn,lum,atm,col,lat,long,we,age,agg_1,agg_2,int_1,int_2,int_3,int_4,int_5,int_6,int_7,int_8,int_9
2.0,2.0,1.0,1.0,1.0,2,10,0,2,3,1,1,4,2,2,0,1,1,1,0,1,50,7,1,1,1,43.66594,7.16704,False,61.0,False,True,True,False,False,False,False,False,False,False,False
2.0,2.0,3.0,1.0,1.0,0,7,0,2,8,10,1,4,2,2,0,1,1,1,0,1,50,16,1,1,3,43.115188,5.844106,False,25.0,False,True,True,False,False,False,False,False,False,False,False
1.0,1.0,2.0,1.0,1.0,1,7,0,2,1,2,1,1,1,3,0,1,1,2,3,1,110,18,5,2,4,43.52432,5.42677,False,19.0,True,False,True,False,False,False,False,False,False,False,False
2.0,2.0,1.0,0.0,1.0,3,7,0,2,4,1,1,4,2,2,0,1,4,1,8,1,30,9,1,8,2,48.71027,2.40204,False,33.0,False,True,True,False,False,False,False,False,False,False,False
1.0,1.0,1.0,0.0,1.0,3,7,0,1,1,1,0,4,2,2,0,1,1,1,0,1,50,16,1,1,6,48.983195,2.419929,False,35.0,False,True,True,False,False,False,False,False,False,False,False
2.0,2.0,1.0,1.0,1.0,1,7,0,2,3,1,1,3,2,2,0,1,3,1,0,1,90,16,1,1,5,46.000658,2.544461,True,17.0,True,False,True,False,False,False,False,False,False,False,False
1.0,1.0,1.0,1.0,1.0,1,7,3,2,9,11,1,1,3,3,0,1,1,1,0,1,130,22,5,1,3,43.42114466,6.07659089,True,69.0,True,False,True,False,False,False,False,False,False,False,False
1.0,1.0,1.0,0.0,1.0,2,7,1,2,1,2,1,4,2,2,0,1,1,1,0,1,50,13,1,1,6,50.7367,3.16218,True,47.0,False,True,False,False,True,False,False,False,False,False,False
2.0,2.0,2.0,1.0,1.0,2,7,0,2,3,1,1,3,2,2,0,1,1,2,0,1,70,7,2,2,5,49.13737,0.11409,False,37.0,True,False,True,False,False,False,False,False,False,False,False
1.0,1.0,4.0,1.0,1.0,1,7,0,2,8,11,1,3,2,2,0,1,3,2,0,1,90,14,1,3,1,46.793932,0.558527,False,29.0,True,False,True,False,False,False,False,False,False,False,False
2.0,2.0,2.0,0.0,1.0,2,7,0,2,1,21,1,3,2,2,0,2,3,1,0,1,90,16,1,1,1,43.36050493,6.60032135,False,15.0,True,False,True,False,False,False,False,False,False,False,False
1.0,1.0,2.0,0.0,1.0,2,7,0,2,1,1,1,3,2,2,0,1,3,1,0,1,70,2,3,1,1,43.32884,-0.34772,True,29.0,False,True,True,False,False,False,False,False,False,False,False
1.0,1.0,1.0,1.0,1.0,2,7,0,2,1,2,1,3,2,2,3,1,1,1,0,1,50,12,1,7,4,48.88334,2.22446,False,38.0,False,True,True,False,False,False,False,False,False,False,False
1.0,1.0,1.0,1.0,1.0,2,7,0,2,6,1,1,4,2,2,0,1,1,1,0,1,80,16,1,1,5,45.79549,1.2632,False,21.0,True,False,False,False,True,False,False,False,False,False,False
1.0,1.0,2.0,0.0,1.0,0,7,0,2,7,1,1,3,2,2,0,4,1,2,0,1,80,13,1,2,3,49.589783,-1.623219,False,53.0,True,False,False,False,True,False,False,False,False,False,False
1.0,1.0,1.0,1.0,1.0,3,7,0,2,2,15,1,4,2,2,1,2,1,2,0,1,50,6,3,1,1,48.09808,-1.65564,False,42.0,False,True,False,True,False,False,False,False,False,False,False
1.0,1.0,1.0,0.0,1.0,2,10,0,1,2,1,1,2,2,2,0,1,1,1,0,1,50,10,1,1,6,42.559077,8.75704,False,25.0,False,True,False,False,True,False,False,False,False,False,False
1.0,1.0,1.0,0.0,1.0,1,7,0,2,4,2,1,2,2,4,0,1,1,1,8,1,80,8,1,1,4,47.94329761,-3.92920516,False,64.0,True,False,True,False,False,False,False,False,False,False,False
1.0,1.0,2.0,0.0,1.0,2,3,0,2,4,1,1,4,2,3,0,2,1,1,0,1,50,15,1,1,4,45.98989,4.71508,False,48.0,False,True,False,False,True,False,False,False,False,False,False
1.0,1.0,1.0,0.0,1.0,2,7,0,2,2,1,1,4,2,2,0,1,1,1,0,1,50,1,3,1,5,48.873551,2.292453,False,28.0,False,True,False,False,True,False,False,False,False,False,False
2.0,2.0,2.0,0.0,1.0,1,7,0,2,1,2,1,2,1,1,0,1,1,1,3,1,90,0,5,1,2,44.86868,-0.50257,False,20.0,True,False,True,False,False,False,False,False,False,False,False
2.0,2.0,2.0,0.0,1.0,3,7,0,2,2,1,1,4,2,1,0,1,1,1,0,1,50,15,1,1,3,49.036115,2.466546,False,61.0,False,True,False,True,False,False,False,False,False,False,False
1.0,1.0,1.0,0.0,1.0,1,7,0,2,3,21,1,4,2,2,2,1,1,1,0,1,50,15,1,1,6,45.77627,4.89275,False,33.0,False,True,False,True,False,False,False,False,False,False,False
1.0,1.0,2.0,1.0,1.0,2,7,0,0,3,1,1,3,2,2,0,1,1,3,0,1,90,8,1,3,5,45.132573,4.80227,False,53.0,True,False,True,False,False,False,False,False,False,False,False
1.0,1.0,3.0,1.0,2.0,1,1,0,0,0,1,5,3,2,2,0,2,1,1,0,3,80,15,1,1,7,47.891485,7.107639,False,64.0,True,False,True,False,False,False,False,False,False,False,False
1.0,1.0,1.0,0.0,1.0,2,7,0,0,4,2,1,3,2,2,0,1,1,1,0,1,90,16,1,1,2,45.904579,3.298844,False,50.0,True,False,False,False,True,False,False,False,False,False,False
2.0,2.0,2.0,1.0,1.0,3,7,6,0,1,1,1,3,2,3,0,1,1,2,0,3,50,2,5,2,6,49.65651,-1.69135,True,21.0,False,True,False,False,True,False,False,False,False,False,False
1.0,1.0,1.0,0.0,1.0,1,7,0,2,7,16,1,4,2,2,0,1,1,1,0,1,30,0,3,1,3,47.21536,-1.56164,True,39.0,False,True,True,False,False,False,False,False,False,False,False
3.0,2.0,2.0,0.0,1.0,1,7,0,2,7,15,1,3,3,5,0,1,1,1,0,1,50,16,1,1,3,46.58467,0.36657,False,7.0,False,True,False,True,False,False,False,False,False,False,False
10.0,3.0,2.0,0.0,0.0,1,2,0,1,2,21,1,4,2,2,0,2,1,1,0,1,30,18,1,1,6,43.83521,5.791034,True,19.0,False,True,True,False,False,False,False,False,False,False,False
1.0,1.0,3.0,0.0,2.0,2,31,0,2,1,1,1,3,3,2,0,1,1,1,0,1,50,10,1,1,3,47.0655,2.32484,False,64.0,False,True,True,False,False,False,False,False,False,False,False
1.0,1.0,1.0,0.0,1.0,1,7,0,2,7,1,1,4,2,3,0,1,1,1,0,1,50,14,1,1,3,48.2671,2.6929,True,23.0,False,True,False,True,False,False,False,False,False,False,False
1.0,1.0,3.0,0.0,2.0,1,33,7,0,0,1,0,7,2,2,0,2,2,1,0,1,70,17,1,1,6,43.727956,7.356302,False,58.0,True,False,True,False,False,False,False,False,False,False,False
1.0,1.0,1.0,0.0,2.0,0,33,0,0,0,1,1,4,2,2,0,1,1,6,0,1,80,14,1,1,7,49.722808,2.789133,False,65.0,True,False,True,False,False,False,False,False,False,False,False
1.0,1.0,2.0,1.0,2.0,2,1,0,2,1,18,5,4,1,1,0,1,1,1,0,1,30,4,3,1,3,48.842853,2.366206,True,22.0,False,True,True,False,False,False,False,False,False,False,False
2.0,2.0,3.0,1.0,1.0,2,7,15,0,3,0,1,3,2,1,0,1,1,1,0,1,90,14,1,1,3,48.621704,2.97273,False,25.0,True,False,False,True,False,False,False,False,False,False,False
3.0,2.0,2.0,0.0,1.0,3,7,8,0,1,1,1,7,2,2,0,1,1,1,1,6,10,11,1,1,6,45.7492337436,4.8266217113,False,41.0,False,True,True,False,False,False,False,False,False,False,False
1.0,1.0,2.0,1.0,1.0,3,7,0,2,3,9,1,4,2,2,0,1,1,1,0,1,50,10,1,1,1,48.9187905091,2.2215514886,False,34.0,False,True,True,False,False,False,False,False,False,False,False
2.0,2.0,3.0,1.0,2.0,3,33,0,2,1,17,1,3,2,2,0,2,1,1,0,1,80,15,1,1,3,48.550352,-2.107884,True,48.0,True,False,False,True,False,False,False,False,False,False,False
2.0,2.0,2.0,1.0,1.0,1,7,1,0,8,21,2,1,3,6,0,1,1,1,0,1,110,6,2,1,2,48.976717,2.492356,True,33.0,True,False,True,False,False,False,False,False,False,False,False
2.0,2.0,1.0,0.0,1.0,1,7,0,2,2,1,1,3,2,2,0,1,3,2,0,1,80,16,1,1,3,45.79443823,5.93267454,False,71.0,True,False,False,True,False,False,False,False,False,False,False
1.0,1.0,3.0,0.0,2.0,2,2,0,2,7,5,1,3,2,2,0,2,2,1,0,1,80,17,1,1,3,45.329695,5.122204,True,15.0,True,False,True,False,False,False,False,False,False,False,False
1.0,1.0,2.0,0.0,2.0,1,2,0,2,8,1,3,3,3,4,0,2,1,1,0,1,50,14,1,1,3,48.68984,2.37072,False,14.0,False,True,True,False,False,False,False,False,False,False,False
1.0,1.0,2.0,0.0,1.0,1,7,0,2,4,2,2,1,3,4,0,1,1,5,0,1,110,9,1,4,4,46.094275,6.355205,False,41.0,True,False,True,False,False,False,False,False,False,False,False
10.0,3.0,3.0,0.0,4.0,1,7,0,1,3,1,1,3,2,2,0,1,1,2,0,1,90,20,5,2,6,43.678379,1.877493,False,61.0,True,False,True,False,False,False,False,False,False,False,False
1.0,1.0,2.0,0.0,1.0,1,7,0,0,3,13,1,4,2,4,0,1,1,1,0,1,50,9,1,1,1,48.898859,2.378122,False,34.0,False,True,True,False,False,False,False,False,False,False,False
4.0,2.0,1.0,0.0,1.0,1,7,0,2,3,15,1,3,2,2,0,1,1,2,0,1,50,14,1,2,2,48.25451,4.09618,False,22.0,False,True,True,False,False,False,False,False,False,False,False
1.0,1.0,2.0,0.0,2.0,2,34,0,2,4,2,1,4,1,4,0,1,1,1,0,1,70,18,1,1,4,48.900425,2.390207,False,58.0,False,True,True,False,False,False,False,False,False,False,False
1.0,1.0,1.0,0.0,1.0,1,7,0,2,2,5,1,3,2,2,0,1,1,1,0,1,80,11,1,1,1,43.420708,3.300403,True,53.0,True,False,True,False,False,False,False,False,False,False,False
10.0,3.0,2.0,1.0,0.0,1,10,0,1,1,15,1,4,1,0,0,1,1,1,0,1,50,13,1,8,6,49.038833,3.954084,False,59.0,False,True,False,True,False,False,False,False,False,False,False
1.0,1.0,2.0,0.0,8.0,2,7,8,2,7,1,1,4,2,2,3,1,1,1,5,1,50,7,1,1,3,45.69496898,4.87336223,False,25.0,False,True,False,True,False,False,False,False,False,False,False
1.0,1.0,3.0,1.0,1.0,2,7,0,2,1,1,1,3,2,2,0,2,1,1,0,1,80,12,1,1,1,43.62045,5.491925,False,47.0,True,False,True,False,False,False,False,False,False,False,False
1.0,1.0,2.0,0.0,2.0,0,43,0,2,1,1,1,4,2,2,0,1,1,1,0,1,50,17,1,1,3,43.3073580105,5.424409075,False,48.0,False,True,True,False,False,False,False,False,False,False,False
2.0,2.0,3.0,1.0,1.0,1,7,2,0,7,0,1,3,2,2,0,1,1,1,0,3,80,3,5,1,6,43.720815,1.247699,True,21.0,True,False,True,False,False,False,False,False,False,False,False
2.0,2.0,2.0,0.0,1.0,2,7,2,0,8,1,1,3,2,2,0,1,3,1,0,3,80,22,5,1,6,47.188566,-0.0202,False,22.0,True,False,True,False,False,False,False,False,False,False,False
6.0,2.0,1.0,0.0,1.0,2,7,0,2,5,23,1,1,3,2,0,1,2,1,8,1,90,11,1,1,5,47.169162,4.694252,True,39.0,True,False,True,False,False,False,False,False,False,False,False
1.0,1.0,1.0,0.0,1.0,3,7,0,1,2,1,1,4,2,2,0,1,1,1,0,1,50,17,1,1,6,48.00192,-4.11204,False,72.0,False,True,True,False,False,False,False,False,False,False,False
10.0,3.0,2.0,0.0,0.0,1,10,0,1,4,4,1,2,2,2,0,1,1,1,0,1,50,9,1,1,6,45.070477,4.836355,False,83.0,False,True,False,False,True,False,False,False,False,False,False
1.0,1.0,1.0,1.0,1.0,2,7,0,2,4,2,1,1,3,4,0,2,2,1,3,1,70,12,1,1,4,45.69574,4.83231,False,34.0,True,False,True,False,False,False,False,False,False,False,False
8.0,2.0,2.0,0.0,8.0,1,7,13,0,9,14,1,3,2,2,0,2,1,1,0,3,90,20,2,1,6,46.379778,3.874719,True,7.0,True,False,True,False,False,False,False,False,False,False,False
1.0,1.0,2.0,1.0,1.0,1,7,0,2,1,1,1,4,2,2,1,1,1,2,0,1,50,1,3,2,5,43.52053,-1.50246,True,26.0,False,True,True,False,False,False,False,False,False,False,False
4.0,2.0,2.0,1.0,1.0,1,7,0,2,4,23,1,4,3,5,1,1,1,1,0,1,50,20,1,1,2,44.80792,-0.60347,False,45.0,False,True,False,False,True,False,False,False,False,False,False
1.0,1.0,3.0,1.0,2.0,2,30,0,2,2,1,3,4,1,1,0,1,1,1,0,1,30,0,3,1,3,44.84256,-0.58298,True,19.0,False,True,False,True,False,False,False,False,False,False,False
1.0,1.0,1.0,0.0,1.0,2,7,0,2,3,1,1,3,2,2,0,2,3,1,0,1,50,11,1,1,3,43.806485,5.71951,True,69.0,True,False,True,False,False,False,False,False,False,False,False
1.0,1.0,1.0,0.0,2.0,1,33,0,2,4,11,1,3,3,6,0,1,1,1,0,1,50,16,1,1,2,48.906622,2.485638,False,43.0,False,True,True,False,False,False,False,False,False,False,False
1.0,1.0,1.0,0.0,8.0,2,7,13,0,2,2,1,1,3,4,0,1,1,1,0,1,130,20,5,9,2,43.753536,1.687131,False,41.0,True,False,True,False,False,False,False,False,False,False,False
2.0,2.0,2.0,1.0,1.0,1,7,0,2,2,13,1,3,2,2,0,2,3,2,0,1,80,11,1,2,1,43.879877,5.703095,False,59.0,True,False,True,False,False,False,False,False,False,False,False
1.0,1.0,2.0,0.0,2.0,2,33,0,2,1,3,1,1,3,6,0,1,1,1,1,1,90,8,1,1,5,48.9126927783,2.4369263299,False,21.0,True,False,True,False,False,False,False,False,False,False,False
2.0,2.0,1.0,0.0,1.0,1,7,0,2,3,1,1,3,2,2,0,1,1,2,0,1,80,18,5,8,1,47.180182,3.516607,False,15.0,True,False,True,False,False,False,False,False,False,False,False
1.0,1.0,3.0,0.0,2.0,1,33,9,2,3,1,1,3,2,2,0,1,1,1,0,4,50,15,1,1,6,43.23786,3.11586,False,72.0,False,True,True,False,False,False,False,False,False,False,False
1.0,1.0,3.0,0.0,2.0,1,33,0,2,1,1,1,3,2,2,0,1,1,1,0,1,80,19,1,1,6,50.83773421,2.01754689,False,53.0,True,False,False,True,False,False,False,False,False,False,False
1.0,1.0,2.0,1.0,8.0,0,1,0,0,0,1,5,4,2,1,0,1,1,6,0,1,20,10,1,1,7,47.47139,-0.56376,False,44.0,False,True,True,False,False,False,False,False,False,False,False
1.0,1.0,1.0,0.0,1.0,1,38,0,2,3,1,1,2,2,2,0,1,1,1,0,1,80,15,1,8,1,45.678923,-0.046574,True,61.0,True,False,True,False,False,False,False,False,False,False,False
1.0,1.0,2.0,1.0,1.0,1,7,0,2,4,15,1,3,2,2,0,1,1,2,0,1,70,15,1,2,4,45.89606,6.341925,False,33.0,True,False,False,True,False,False,False,False,False,False,False
1.0,1.0,2.0,1.0,1.0,2,7,4,0,2,1,1,1,3,4,0,2,2,2,0,1,130,20,5,2,7,49.0401162371,4.6370834112,False,32.0,True,False,True,False,False,False,False,False,False,False,False
1.0,1.0,1.0,0.0,1.0,1,40,0,2,1,1,3,4,2,4,3,1,1,2,4,1,50,18,3,3,3,44.85828,-0.66625,False,26.0,False,True,False,False,False,False,False,False,False,True,False
3.0,2.0,2.0,0.0,1.0,2,7,0,2,3,1,1,4,2,2,2,1,1,1,0,1,30,8,2,1,3,45.72746108,4.88411173,False,3.0,False,True,True,False,False,False,False,False,False,False,False
